YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,day
2019,4,10,3,2019-04-10,BOS,TPA,410.0,378.0,0,,0,155.0,1185,11.0,0.0,1.0,0.0,366.0,Wednesday
2019,4,10,3,2019-04-10,TPA,DFW,370.0,336.0,0,,0,126.0,929,0.0,0.0,0.0,0.0,336.0,Wednesday
2019,4,7,7,2019-04-07,IAH,FLL,626.0,623.0,0,,0,120.0,966,27.0,0.0,456.0,0.0,140.0,Sunday
2019,4,14,7,2019-04-14,JAX,ORD,361.0,331.0,0,,0,113.0,864,0.0,331.0,0.0,0.0,0.0,Sunday
2019,4,19,5,2019-04-19,MSY,EWR,409.0,387.0,0,,0,137.0,1167,0.0,0.0,387.0,0.0,0.0,Friday
2019,4,10,3,2019-04-10,MSP,MCO,465.0,575.0,0,,0,159.0,1310,0.0,0.0,110.0,0.0,465.0,Wednesday
2019,4,27,6,2019-04-27,FLL,SJU,695.0,679.0,0,,0,124.0,1046,0.0,0.0,679.0,0.0,0.0,Saturday
2019,4,28,7,2019-04-28,SJU,FLL,672.0,678.0,0,,0,152.0,1046,0.0,0.0,6.0,0.0,672.0,Sunday
2019,4,21,7,2019-04-21,CLE,TPA,545.0,513.0,0,,0,109.0,927,513.0,0.0,0.0,0.0,0.0,Sunday
2019,4,29,1,2019-04-29,DEN,MCO,600.0,577.0,0,,0,176.0,1546,577.0,0.0,0.0,0.0,0.0,Monday
2019,4,30,2,2019-04-30,BNA,LAS,374.0,381.0,0,,0,238.0,1587,374.0,0.0,7.0,0.0,0.0,Tuesday
2019,4,30,2,2019-04-30,IND,DEN,369.0,389.0,0,,0,165.0,977,369.0,0.0,20.0,0.0,0.0,Tuesday
2019,4,12,5,2019-04-12,BUF,BOS,563.0,544.0,0,,0,54.0,395,544.0,0.0,0.0,0.0,0.0,Friday
2019,4,13,6,2019-04-13,PVD,MCO,782.0,767.0,0,,0,150.0,1072,767.0,0.0,0.0,0.0,0.0,Saturday
2019,4,13,6,2019-04-13,PVD,MCO,467.0,444.0,0,,0,141.0,1072,404.0,0.0,0.0,0.0,40.0,Saturday
2019,4,13,6,2019-04-13,MCO,PVD,537.0,520.0,0,,0,137.0,1072,29.0,0.0,0.0,0.0,491.0,Saturday
2019,4,13,6,2019-04-13,MCO,AUS,437.0,452.0,0,,0,162.0,994,22.0,0.0,15.0,0.0,415.0,Saturday
2019,4,14,7,2019-04-14,EWR,PBI,506.0,524.0,0,,0,176.0,1023,0.0,0.0,18.0,0.0,506.0,Sunday
2019,4,14,7,2019-04-14,ATL,JFK,394.0,373.0,0,,0,94.0,760,17.0,0.0,0.0,0.0,356.0,Sunday
2019,4,14,7,2019-04-14,MCO,EWR,533.0,508.0,0,,0,130.0,937,0.0,0.0,33.0,0.0,475.0,Sunday
2019,4,14,7,2019-04-14,MCO,HPN,412.0,426.0,0,,0,157.0,972,0.0,0.0,367.0,0.0,59.0,Sunday
2019,4,14,7,2019-04-14,EWR,MCO,495.0,498.0,0,,0,145.0,937,351.0,0.0,3.0,0.0,144.0,Sunday
